Scalar,ROI,Modality,Median,1-Percentile,25-Percentile,75-Percentile,99-Percentile,Mean,Std,Max,Min
dxx,CSF,bssfp,0.1544572437199901,0.10446256073006033,0.13220556836703917,0.18332556581261045,0.26175964156253057,0.15957117360151662,0.03821821648322777,0.2640978483552626,0.1034712488510036
dxx,CSF,dwi-tensor,0.0612476873102838,0.0512845989997162,0.0576620993613683,0.08343367086929902,0.1005894437169444,0.06937130497111402,0.015159887256558422,0.1005894437169444,0.0512845989997162
dxx,CSF,pc-bssfp,0.18245237771507555,0.10874933134289995,0.1512757309441691,0.23339237820306005,0.2831613808428703,0.18816361659072017,0.04964191675186414,0.292417727721389,0.1004465312369994
dxx,CSF,t1w,0.14655993191696248,0.0855922315424887,0.11329215343142901,0.17318505314322513,0.2620776176784988,0.1508522653211547,0.04336473312139351,0.2620776176784988,0.0855922315424887
dxx,GM,bssfp,0.117521673570156,0.0820053281585444,0.10342433867906889,0.1482000552334376,0.2478904887703943,0.12914942539474797,0.03645219739043106,0.2577592415163258,0.0809802147404324
dxx,GM,dwi-tensor,0.0730810823007689,0.0544807909975115,0.0635443201238554,0.09757649992762424,0.1356333742313806,0.08098345620686868,0.022822057686327182,0.1356333742313806,0.0544807909975115
dxx,GM,pc-bssfp,0.12950054954922555,0.08203187678875505,0.1006650443022948,0.1701428126492871,0.22586845832303865,0.13752217067291947,0.04037960900946891,0.2267239052508521,0.0811544563908554
dxx,GM,t1w,0.10320063511717935,0.0703670195970536,0.08617723215084193,0.14902284937739788,0.2593282658328084,0.12287428763155385,0.04839946356545997,0.2593282658328084,0.0703670195970536
dxx,WM,bssfp,0.1183372244103994,0.08052194560704434,0.08759582817882315,0.16965950867803964,0.3256694938257977,0.13389775274311358,0.05769979032154515,0.3455406939261724,0.0803262373342416
dxx,WM,dwi-tensor,0.10142191797238734,0.0645670229584122,0.08842459556978688,0.1524424931773697,0.1889965397242713,0.11491303650827325,0.03782472611785519,0.1889965397242713,0.0645670229584122
dxx,WM,pc-bssfp,0.10332788165811474,0.07561937157354447,0.09207468221884377,0.1116392859925817,0.2514322255324824,0.10806958146804331,0.03135844925907527,0.2557569210487613,0.0737886877850135
dxx,WM,t1w,0.10941353457602976,0.0724812903196365,0.08779536232262178,0.16807948001916728,0.2999697510284456,0.1364436610061148,0.06767525795332355,0.2999697510284456,0.0724812903196365
dxy,CSF,bssfp,0.4059002330716245,0.2695840063408421,0.37277049882000196,0.45192764382174205,0.8136741537567188,0.4304627338681769,0.12326327095762635,0.8653598956674425,0.2665401169145702
dxy,CSF,dwi-tensor,0.18199852978643755,0.1256221735132924,0.1549051423557075,0.27241806091329646,0.6683006603437553,0.2387906578289996,0.127790540282019,0.6683006603437553,0.1256221735132924
