Scalar,ROI,Modality,Median,1-Percentile,25-Percentile,75-Percentile,99-Percentile,Mean,Std,Max,Min
dxx,CSF,bssfp,0.11900345450173265,0.036807821774291344,0.056161841849220774,0.15632583782561632,0.2594223479848889,0.11409593245822922,0.060381918525128156,0.2640978483552626,0.0359949027392931
dxx,CSF,dwi-tensor,0.04391181285295305,0.017513726343025535,0.022072251693261775,0.06043023958738862,0.1005894437169444,0.04705398854246904,0.025996747782986426,0.1005894437169444,0.0173578955459834
dxx,CSF,pc-bssfp,0.11481159928846495,0.036107457565508316,0.06332365262185022,0.18898848590024958,0.27534161796651063,0.1299007248724356,0.0746418967522745,0.2832918382878255,0.0328404252805407
dxx,CSF,t1w,0.09887903760971264,0.0332154133449951,0.04952515945163745,0.1600199990077954,0.2603613608135613,0.1072572459537571,0.06255412171879758,0.2620776176784988,0.0332154133449951
dxx,GM,bssfp,0.0979109786058408,0.025496521322725358,0.038930108964689604,0.12915672942355833,0.2571125826086404,0.09657518973967588,0.06039076249963405,0.3406505152478262,0.0253976997707623
dxx,GM,dwi-tensor,0.047455639997984744,0.0181717347373485,0.021336862812106925,0.0732766320505478,0.13533195725124816,0.05332839065523872,0.03425257171778035,0.1356333742313806,0.0171633890783196
dxx,GM,pc-bssfp,0.08698826044431154,0.029303567102162892,0.0425091989392943,0.13014180605477066,0.226119132422817,0.09217866525595338,0.05662536660000153,0.3011751215488041,0.0288026949507477
dxx,GM,t1w,0.0752217454400607,0.0219165288818497,0.034198494496628776,0.1051736039714937,0.2593282658328084,0.08605006283387509,0.06217795938853574,0.3459551964671201,0.0219165288818497
dxx,WM,bssfp,0.08290852459478826,0.02342056145760054,0.03486403159016097,0.12065794948145253,0.3215640180546703,0.09492249014039246,0.06916455372412411,0.3455406939261724,0.0233594369605045
dxx,WM,dwi-tensor,0.05937821864280715,0.0182767797910654,0.026846814159378576,0.10046027006513952,0.18864423275488174,0.07373329898973527,0.05160509468475875,0.1889965397242713,0.0180323389000596
dxx,WM,pc-bssfp,0.0657475202254072,0.02254414097114246,0.03169106476333957,0.09875485213453833,0.13917535916798324,0.0677449264127973,0.036937550649819274,0.1612943785843835,0.0217082234698808
dxx,WM,t1w,0.0779723241936001,0.02254282299603403,0.0351754506653828,0.11100244443424442,0.2999697510284456,0.08896953405464192,0.06651214989206156,0.2999697510284456,0.0220187434787501
dxy,CSF,bssfp,0.29653006573987606,0.040666639623531356,0.05732212652901725,0.4180529125606652,0.7723705795481511,0.26993849819217125,0.20895520019984457,0.8653598956674425,0.0404399112033357
dxy,CSF,dwi-tensor,0.09148277444344355,0.019141898834658642,0.025277369179386527,0.1872060170745731,0.658144585196222,0.13999059732437616,0.14959724857646317,0.6683006603437553,0.018520551442983
dxy,CSF,pc-bssfp,0.22763098734129517,0.0412661278785263,0.06326886844308469,0.46515648722113584,0.7743212805595427,0.2838421504915425,0.23834884572987192,0.7834059722888171,0.0403785477052268
dxy,CSF,t1w,0.2501349667106061,0.0322407817674287,0.0465014951934584,0.35612060653970656,0.6991076188716979,0.241849712945687,0.21473404487266035,0.861903557253122,0.0322407817674287
dxy,GM,bssfp,0.37630545449855024,0.04091796760281905,0.05285636592145835,0.4771544192176216,1.5279965082623463,0.32724733759439756,0.3423639945265329,2.5405738599493044,0.0398748712275081
dxy,GM,dwi-tensor,0.09886898781515885,0.0179710117884045,0.02322505612273165,0.2345285886926457,1.8953241119608628,0.19558341277437383,0.3277416955874962,1.8953241119608628,0.0179571776717618
dxy,GM,pc-bssfp,0.23016799980259905,0.04203671701386848,0.062233215139346695,0.49826734553709073,2.196931138861025,0.37123265535187955,0.4828806280695976,3.527215990969886,0.0406144508382583
dxy,GM,t1w,0.2753919380255587,0.033089729204366966,0.0424836220557459,0.4426351033284901,4.315051736435679,0.3451592032874612,0.708203792448373,5.822231818036671,0.0330615990586489
dxy,WM,bssfp,1.1134344234868103,0.05339577663555723,0.06389548499056792,1.633172895917753,4.159773302099803,1.03555680571815,1.0707193496957028,4.3215138324502425,0.0533075699749191
dxy,WM,dwi-tensor,0.2551815423523151,0.01952924498196653,0.0282635342535327,0.7481714361274954,3.899336297342302,0.5755039572112141,0.8257381397496728,3.899336297342302,0.0192161938760027
dxy,WM,pc-bssfp,0.6548147034126626,0.05180383466353987,0.0752845800127923,1.846303154473374,5.225360718120387,1.183161392719904,1.3745382321624227,5.284259293835054,0.048990453055274
dxy,WM,t1w,0.8704036918022827,0.043545732938860854,0.05177371399776005,1.5824337186777555,7.270306922191223,1.0472486973458044,1.4748893676241466,7.270306922191223,0.0432328306871292
dxz,CSF,bssfp,0.328630123509277,0.04093572588159826,0.0637073170063569,0.4219076035272254,0.8930895194255233,0.27852902844235045,0.224946909945436,1.1046382395232244,0.0395888987211248
dxz,CSF,dwi-tensor,0.07978368999331145,0.01804825895570492,0.022510564646552024,0.1742479242310231,0.584000853808301,0.1300471208153763,0.1418090383410388,0.7477101481360582,0.0177037250797717
dxz,CSF,pc-bssfp,0.22171653656641815,0.04150073490697961,0.061418646522632576,0.44393476591653186,1.1773174494906518,0.3058088032202917,0.3070279730295946,1.511439349687126,0.0405304019730998
dxz,CSF,t1w,0.23412112960162212,0.030104717116964,0.049848339078689,0.3801406473895872,1.898048995103237,0.27975280625695986,0.3352146144837114,1.9422003652786008,0.030104717116964
dxz,GM,bssfp,0.3726647967689692,0.04376332185267298,0.055781783228806676,0.4488963125163224,0.8223639836595676,0.3045325852589629,0.33703198287560926,2.9817345512347795,0.0415452201661798
dxz,GM,dwi-tensor,0.08986831792740975,0.017605064628234423,0.02164234915113085,0.1943009160841145,0.6776132489584359,0.1323338824170737,0.14582516773264398,0.6776132489584359,0.017299617721694
dxz,GM,pc-bssfp,0.2153748874221414,0.042280510447584824,0.057152060113075,0.4550197930420935,0.7164752715000456,0.3060827741405242,0.4668918957343872,4.540151678666483,0.0412333988881565
dxz,GM,t1w,0.2455348257439025,0.0316369206133443,0.0416210168795309,0.455063768724187,1.0877179664933088,0.28488500475158784,0.4058019684868002,3.63628051604948,0.0316369206133443
dxz,WM,bssfp,1.1927511126486636,0.05411793034206154,0.06620178353580337,1.5635731874511511,53.310169391245054,2.9141143840969925,9.273662829087467,57.99271958858699,0.0536180548278693
dxz,WM,dwi-tensor,0.20116798659359914,0.018688967412552004,0.025612191818977274,0.6022054997060541,27.414950766018357,1.0596241538578262,3.9829163723271552,28.90786428628179,0.0176755475249447
dxz,WM,pc-bssfp,0.542318782183694,0.05458183682858446,0.0732133563960562,1.3892658063453645,3.723478438415633,1.16517363368061,3.4986283374426277,35.933847679149395,0.0507637039915091
dxz,WM,t1w,0.8195041746562415,0.0430421938111638,0.05013295690089245,1.2999456213104592,4.9332260372375405,1.021153088355797,2.511917525089293,24.874132534701538,0.0430409817250621
dyy,CSF,bssfp,0.1262863025206954,0.03619938827974222,0.055995206173771954,0.1613286183850257,0.22533485651327476,0.11386630979803672,0.058394659154388864,0.2272007744910022,0.0360643248820991
dyy,CSF,dwi-tensor,0.0474927458359307,0.016179065440822045,0.0225549616527792,0.07004703595470706,0.1178735141492653,0.051142770128797366,0.029527580521372214,0.1216347755347459,0.0142981705260725
dyy,CSF,pc-bssfp,0.10501754451945161,0.036591543219360284,0.06619556438888732,0.18931714504769812,0.27379515211563105,0.12847215722221025,0.07397874298222402,0.3328816319911989,0.034226263267756
dyy,CSF,t1w,0.10140212762729105,0.035269421819501795,0.0513325821950989,0.15006661623889977,0.23464991054206638,0.10524477037849905,0.057919280810406266,0.2359748669379465,0.0352392684906255
dyy,GM,bssfp,0.09574864388788415,0.026466072953597822,0.04003149546967145,0.13412478194568103,0.18826249140030407,0.09244680345754623,0.05161171367550271,0.1891060947655768,0.025682611679996
dyy,GM,dwi-tensor,0.0465154046967505,0.015315155691922334,0.0214538684861821,0.06359762039090362,0.13457734391409934,0.0504044362589663,0.032989507041771386,0.1347943409022792,0.0140689737159104
dyy,GM,pc-bssfp,0.07646357617672725,0.031000857418413106,0.04605903220753432,0.13501257919036824,0.23031838272160693,0.09689919261000318,0.05919767879851256,0.2563157052610837,0.030789457771103
dyy,GM,t1w,0.0775003121984147,0.0220986198659319,0.035303163874593674,0.09718323236772794,0.20060700586888255,0.07775060914208548,0.046801740280809745,0.201345367858491,0.0220986198659319
dyy,WM,bssfp,0.0903950451861085,0.02489230969236684,0.0381496294010645,0.13401394365243535,0.23238940599633298,0.09569153416955954,0.05902150675847257,0.2328563920322471,0.0240011548621063
dyy,WM,dwi-tensor,0.05289572147958075,0.01657716964310527,0.0199768883867226,0.06868789112923827,0.16173506869607338,0.0567942804713351,0.041567343812236986,0.1620067897596309,0.0159306875107967
dyy,WM,pc-bssfp,0.08250775433684884,0.025478797820730585,0.0389836980350729,0.11716323486462335,0.1539312947890296,0.07929213375740399,0.0439873757039532,0.1562828325256809,0.0243707025452134
dyy,WM,t1w,0.0744254702299482,0.02136497341927,0.0267116816718596,0.0902722243205727,0.1989154727372812,0.07159213760367494,0.045527496130793835,0.2131392406999051,0.02136497341927
dyz,CSF,bssfp,0.29419182471001115,0.038942713034902626,0.055207812522521424,0.4083315411070594,1.7910153854321225,0.31595389806307,0.37208211273132336,2.5569912452398773,0.0388510647493835
dyz,CSF,dwi-tensor,0.08523821814771405,0.017514003780857212,0.0234252305110147,0.23345306184294706,0.5138094307750624,0.14553022719794087,0.1434860536896166,0.5795677192011581,0.0170035386317921
dyz,CSF,pc-bssfp,0.19954875611359568,0.04087511853970627,0.0621181418783151,0.4625563775273106,1.9838804911334351,0.3264954557500558,0.38534877332706924,2.019592774504573,0.0404627355197316
dyz,CSF,t1w,0.26981638144674863,0.0300537315505869,0.0471814212012055,0.4524202624200824,2.121395078777303,0.33118867471808017,0.42731493520665503,2.121395078777303,0.0300537315505869
dyz,GM,bssfp,0.34820704445101913,0.040203550678751455,0.05371927857632775,0.521361269476391,1.2145127968116927,0.33506755036164343,0.31412828035631374,1.412805030792884,0.039002295371437
dyz,GM,dwi-tensor,0.0874250005601465,0.016955038493582,0.021105046903064025,0.23516716181496128,0.5422357681927141,0.14817007502058968,0.15308842090347974,0.7264452661711358,0.016955038493582
dyz,GM,pc-bssfp,0.20409925124926698,0.04367871917752303,0.05823120141041803,0.4933046497631389,1.0523093189569508,0.3230118199678221,0.43928172371799795,4.013528490388453,0.0416564107037411
dyz,GM,t1w,0.2593150049929309,0.0324827286257094,0.0422596372624906,0.4744895493556116,3.742806985492544,0.3660294694895323,0.5828464741104579,3.924311396476965,0.0324827286257094
dyz,WM,bssfp,1.1038377015677405,0.05343210533106411,0.06854490321045667,1.6482172598406843,3.9897038269438525,1.0363053636337047,1.04386649376756,4.234916398891646,0.0529537005599939
dyz,WM,dwi-tensor,0.19913593946875635,0.020709315068951423,0.026628533600760403,0.67157047766085,2.0748999816653835,0.44457023506300997,0.5648032674735787,3.19076094250722,0.0187213704114621
dyz,WM,pc-bssfp,0.4765319577628199,0.05426428398898564,0.0834255949575109,1.458295173105981,5.398078481128984,0.9036889655290964,1.0847446914004062,6.153099873097612,0.0511629595140716
dyz,WM,t1w,0.7807197684664963,0.04806652273991806,0.05701266219500615,1.3822497884527074,4.254014275625844,0.9243648057684964,1.1274357979385454,5.679423178762196,0.0479638954122636
dzz,CSF,bssfp,0.12317585915244825,0.038918856967537614,0.0568948645546332,0.1708929744779169,0.5893035608068675,0.14233601740319932,0.13078502374429854,0.7636944203669422,0.0386478856518108
dzz,CSF,dwi-tensor,0.04374605954496495,0.016324234700857424,0.0240084577397199,0.0687034025433687,0.11942627961312255,0.04998745573830782,0.029411566326430726,0.1195052464714174,0.0162633109156499
dzz,CSF,pc-bssfp,0.09701446946637579,0.03711192023646143,0.06059438777657907,0.19500780563357734,0.6047916326213777,0.14695650921046632,0.12871821501886987,0.7793106799477636,0.031521096611369
dzz,CSF,t1w,0.09625508461359085,0.032153493980447,0.051402161254989545,0.17319204347489403,0.8081187025120158,0.13797133185866353,0.1501388793209358,0.8081187025120158,0.032153493980447
dzz,GM,bssfp,0.1027339918070402,0.026321370028995143,0.04117651460850995,0.1349454044375511,0.30050940948735794,0.10317641295629362,0.06906873670369397,0.3042633815831788,0.0254759028197025
dzz,GM,dwi-tensor,0.05505949931457265,0.0181313666656097,0.0219464067170608,0.07569413142179174,0.1690992773311891,0.060595241749818,0.04260857169524599,0.169389417108178,0.0178243467385202
dzz,GM,pc-bssfp,0.0860252954559121,0.029832002500128806,0.0416217898758632,0.1281304797789317,0.30126199974714496,0.09543026988336635,0.06578705725028988,0.3273394840415946,0.0287680545766452
dzz,GM,t1w,0.07860554767391664,0.0218108773713894,0.0354401551818326,0.1139264925633287,0.28283026823730684,0.0869799346737489,0.059900876010742246,0.2828780810466119,0.0218108773713894
dzz,WM,bssfp,0.0883283572335185,0.024369510345158236,0.03475514094239762,0.1450248568216453,0.25666504179048166,0.10789871961260887,0.10737253602204194,0.9825899921562818,0.024085029771996
